Topik_ID,Kategori,Nama_Topik,Rank,Kata,Skor_cTFIDF,Keyword_Ditemukan,Coverage,Keyword_Kategori_Lengkap
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,1,kompas,0.113087,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,2,kompas com,0.112643,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,3,jakarta kompas,0.105801,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,4,extra jakarta,0.077328,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,5,com com,0.041032,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,6,gubernur,0.027937,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,7,com presiden,0.027611,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,8,extra kompas,0.02615,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,9,presiden,0.022947,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
1,Nasional & Pemerintahan,1_kompas_kompas com_jakarta kompas_extra,10,ketua,0.022836,gubernur|presiden,2/64,anggaran|aparatur|apbd|apbn|asn|badan|bansos|bantuan sosial|birokrasi|blt|bpk|bpn|bps|brin|bupati|daerah|direktorat|dirjen|dprd|e-government|gubernur|ibu kota nusantara|ibukota|ikn|infrastruktur nasional|inpres|jokowi|kabinet|kebijakan|kemendag|kemendikbud|kemenhub|kemenkes|kementan|kementerian|keppres|komisi|lembaga|menteri|otonomi|pembangunan|pemda|pemerintah|pengadaan|peraturan|perda|perpres|pkh|pns|pp|prabowo|presiden|proyek|proyek nasional|reformasi birokrasi|regulasi|ruu|sekretariat|subsidi|tender|undang-undang|uu|walikota|wapres
